Año,Tipo Tráfico,Modo Transporte,Toneladas(miles)
2017,Interior,Carretera,1335.356
2017,Interior,Ferroviario,23.717
2017,Interior,Aéreo,0.065
2017,Interior,Marítimo,48.127
2017,Internacional,Carretera,105.767
2017,Internacional,Ferroviario,4.589
2017,Internacional,Aéreo,0.792
2017,Internacional,Marítimo,435.686
2018,Interior,Carretera,1396.277
2018,Interior,Ferroviario,24.121
2018,Interior,Aéreo,0.065
2018,Interior,Marítimo,48.631
2018,Internacional,Carretera,111.744
2018,Internacional,Ferroviario,4.13
2018,Internacional,Aéreo,0.884
2018,Internacional,Marítimo,453.52
2019,Interior,Carretera,1461.392
2019,Interior,Ferroviario,21.549
2019,Interior,Aéreo,0.059
2019,Interior,Marítimo,48.106
2019,Internacional,Carretera,114.725
2019,Internacional,Ferroviario,4.476
2019,Internacional,Aéreo,0.949
2019,Internacional,Marítimo,454.724
2020,Interior,Carretera,1391.431
2020,Interior,Ferroviario,17.681
2020,Interior,Aéreo,0.049
2020,Interior,Marítimo,41.23
2020,Internacional,Carretera,107.553
2020,Internacional,Ferroviario,4.486
2020,Internacional,Aéreo,0.693
2020,Internacional,Marítimo,422.854
2021,Interior,Carretera,1541.099
2021,Interior,Ferroviario,20.049
2021,Interior,Aéreo,0.056
2021,Interior,Marítimo,44.379
2021,Internacional,Carretera,118.553
2021,Internacional,Ferroviario,4.733
2021,Internacional,Aéreo,0.889
2021,Internacional,Marítimo,442.647
2022,Interior,Carretera,1497.465
2022,Interior,Ferroviario,20.035
2022,Interior,Aéreo,0.058
2022,Interior,Marítimo,47.964
2022,Internacional,Carretera,125.745
2022,Internacional,Ferroviario,4.745
2022,Internacional,Aéreo,0.883
2022,Internacional,Marítimo,449.805
2023,Interior,Carretera,1515.79
2023,Interior,Ferroviario,18.145
2023,Interior,Aéreo,0.055
2023,Interior,Marítimo,48.668
2023,Internacional,Carretera,119.179
2023,Internacional,Ferroviario,4.118
2023,Internacional,Aéreo,0.968
2023,Internacional,Marítimo,432.158
2024,Interior,Carretera,1553.784
2024,Interior,Aéreo,0.057
2024,Internacional,Carretera,124.512
2024,Internacional,Aéreo,1.164
